number,species,site,region,sequence,crown.exp,canopy_scope,mode,X9,seen
tebi_32_3,tebi,g32_3,L6,3,1.5,5,TT,NA,NA
cafo_32_3,cafo,g32_3,L6,3,1.5,2.5,SH,NA,NA
cafo_32_4,cafo,g32_4,L6,4,1,2.5,SH,NA,NA
tebi_32_4,tebi,g32_4,L6,4,1.5,6,TT,NA,NA
dima_32_4,dima,g32_4,L6,4,2,6,TS,NA,NA
smbr_32_4,smbr,g32_4,L6,4,2.5,3.5,TT,NA,NA
fiol_32_4,fiol,g32_4,L6,4,1.5,3,TB,NA,NA
smla_25_1,smla,g25_1,L6,1,1,5.5,TT,NA,NA
tebi_25_1,tebi,g25_1,L6,1,1,5,TT,NA,NA
cafo_25_2,cafo,g25_2,L6,2,1.5,5.5,SH,NA,NA
cafo_25_3,cafo,g25_3,L6,3,1,1.5,SH,NA,NA
cafo_25_4,cafo,g25_4,L6,4,1,4,SH,NA,NA
smla_25_4,smla,g25_4,L6,4,2,7.5,TT,NA,NA
pisi_20_1,pisi,g20_1,L6,1,1.5,7.5,AAR,NA,NA
cafo_20_1,cafo,g20_1,L6,1,1.5,6,SH,NA,NA
fiol_20_1,fiol,g20_1,L6,1,1,5,TB,NA,NA
cafo_20_2,cafo,g20_2,L6,2,1,2,SH,NA,NA
cafo_20_3,cafo,g20_3,L6,3,1,4.5,SH,NA,NA
fiol_20_4,fiol,g20_4,L6,4,1,4.5,TB,NA,NA
cafo_20_4,cafo,g20_4,L6,4,1,2,SH,NA,NA
fiol_27_1,fiol,g27_1,L6,1,2,5,TB,NA,NA
muta_27_1,muta,g27_1,L6,1,3,10,TS,NA,NA
tebi_27_1,tebi,g27_1,L6,1,1,2.5,TT,NA,NA
smbr_27_2,smbr,g27_2,L6,2,2,5,TT,NA,NA
smla_27_2,smla,g27_2,L6,2,1,5,TT,NA,NA
fiol_27_2,fiol,g27_2,L6,2,2,8,TB,NA,NA
rupy_27_3,rupy,g27_3,L6,3,1.5,4.5,SH,NA,NA
smla_27_3,smla,g27_3,L6,3,1.5,4.5,TT,NA,NA
cafo_27_3,cafo,g27_3,L6,3,1.5,6.5,SH,NA,NA
sasw_27_4,sasw,g27_4,L6,4,1,3,TS,NA,NA
cafo_27_4,cafo,g27_4,L6,4,1,4,SH,NA,NA
smla_30_1,smla,g30_1,L6,1,3,8,TT,NA,NA
tebi_30_1,tebi,g30_1,L6,1,1.5,5.5,TT,NA,NA
cafo_30_1,cafo,g30_1,L6,1,3,8.5,SH,NA,NA
smbr_30_1,smbr,g30_1,L6,1,2.5,5.5,TT,NA,NA
aeac_30_1,aeac,g30_1,L6,1,1,4,AAR,NA,NA
pisi_30_2,pisi,g30_2,L6,2,3,5.5,AAR,NA,NA
cafo_30_2,cafo,g30_2,L6,2,2,5.5,SH,NA,NA
smla_30_2,smla,g20_2,L6,2,2,7,TT,NA,NA
rupy_30_2,rupy,g30_2,L6,2,2,6.5,SH,NA,NA
cafo_30_3,cafo,g30_3,L6,3,1.5,5,SH,NA,NA
fiol_30_3,fiol,g30_3,L6,3,2,8,TB,NA,NA
moum_30_3,moum,g30_3,L6,3,1.5,4.5,TS,NA,NA
cafo_30_4,cafo,g30_4,L6,4,1,4,SH,NA,NA
